Country	Camp	Latitude	Longitude	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006
Kenya	Kakuma	3.7290250	34.8423540	163167	184370	132606	153959	128540	107205	85862	69822	64791	53068	62497	90457
Uganda	Adjumani	3.4914900	31.5527350	161094	103583	85071	96926	11986	9279	8322	7365	28000	21714	52784	54051
Algeria	Tindouf	27.6661547	-8.1462535	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000	90000
Kenya	"Hagadera, Dadaab"	0.0033470	40.3746570	83012	102994	104596	106968	114729	139483	137528	101506	83518	90403	70412	59185
Jordan	Zaatari	32.2945970	36.3167330	79737	79511	79284	84773	145209	0	0	0	0	0	0	0
Kenya	"Dagahaley, Dadaab"	0.1889560	40.2826100	69415	83351	84209	88486	104565	121127	122214	93470	93179	65581	39626	39526
Kenya	"Ifo, Dadaab"	0.1107220	40.3134660	62975	76293	77299	83750	99761	98294	118972	97610	79424	79469	61832	54157
Cameroon	Minawao	10.5958210	13.9746090	61637	60157	51240	24667	0	0	0	0	0	0	0	0
Uganda	Nakivale	-0.7763890	30.9494440	52904	44829	37175	66691	65532	64373	57500	54875	52249	42113	33176	25692
Kenya	"Ifo 2, Dadaab"	0.1468200	40.3294500	33095	49271	50802	52310	65693	69269	64945	0	0	0	0	0
Ethiopia	Tierkidi	8.2814700	34.2693000	69597	52479	49066	0	0	0	0	0	0	0	0	0
Ethiopia	Jewi	8.1314983	34.7331683	56989	47835	0	0	0	0	0	0	0	0	0	0
Ethiopia	Kule	8.1654000	34.1510000	51272	47795	46123	0	0	0	0	0	0	0	0	0
Ethiopia	Pugnido	7.7500000	34.5000000	63952	58633	53314	53218	42044	34247	22692	21770	20202	19464	18726	27175
Mauritania	Mbéra	15.6658795	-5.8222390	52472	52663	52854	48910	66392	103831	0	0	0	0	0	0
Chad	Breidjing	13.7080951	20.9908960	42970	41079	39586	41146	39797	37494	35938	34465	32559	32669	30077	28932
Chad	Oure Cassoni	15.7279550	23.0397350	27839	26644	37919	36466	35415	33267	36168	32206	31189	28430	28035	26786
Thailand	Mae La	17.1239833	98.3878944	37261	38055	43255	46978	25156	26690	27629	29188	30073	32862	38130	46148
